date,title,description
2018-12-29,"""Unconfirmed: Chinese Media Reports Jihan Wu, Jenke Group to Soon Resign as Bitmain CEOs""","""                                                               The CEOs of leading mining ASIC producer Bitmain will be allegedly soon be retiring to give place to a successor surnamed Wang.                     Jihan Wu and the Jenke Group will be reportedly soon retire as CEOs of leading mining ASIC producer Bitmain. Rumors about their departure were reported by Chinese local media Odaily on Dec. 28.Odaily quotes an unnamed source familiar with the situation that Bitmain is currently in a transition period. Furthermore, the article also reports that employees allegedly werent optimistic about the outcomes of the double-CEO system.The Chinese local outlet also notes that their successor is supposedly surnamed Wang, without providing further information.In mid-November, Chinese local media reported that Wu would no longer be able to influence corporate decisions at the mining manufacturer, alleging that he had been demoted from the position of director to that of supervisor.Odaily also reported today that unspecified sources declared that Bitmain is planning to cease all mining operations and already commissioned the relevant dealers to sell the used Antminer S9s. This, according to the article, would mean that the company will lay off over 500 employees.In mid-May, Wu had told Bloomberg in an interview that the manufacturer was considering turning to artificial intelligence (AI) amid China&rsquo;s crypto crackdown. At the time, Wu predicted that AI chips could account for around 40 percent of Bitmain&rsquo;s revenue in the next five years.The Odaily article referenced the AI division, noting that layoffs would include those from the AI, mining, overseas, and BCH Copernicus client teams.At the end of December, Chinese social media sources reported that Bitmain had already allegedly fired its entire staff of BCH developers.Bitmain has not responded to Cointelegraph&rsquo;s request for comments on the CEO changes or the layoffs by press time.The downward trend reported by the prices of cryptocurrencies this year also hasn&rsquo;t spared graphics processing unit (GPU) producer Nvidia. As Cointelegraph reported today, Nvidia is facing a class action lawsuit over the losses reported by the company when lower crypto prices diminished demand for GPUs by miners.According to the complaint, Nvidia &ldquo;touted its ability to monitor the cryptocurrency market and make rapid changes to its business as necessary.&rdquo; This assumption &mdash; according to the indictment &mdash; is a false and misleading statement.As Cointelegraph also recently reported, after the decrease in GPU demand by miners, Nvidia was the worst performer in S&amp;P 500, losing 54 percent of its stock price.   """
2018-12-29,"""Huobi to Launch Company’s First Exchange Dedicated to EOS in Q1 2019""","""                                                               Huobi plans to launch the company’s first crypto exchange — dedicated to EOS — in the first quarter of 2019.                     Huobi Group plans to launch the company&rsquo;s first cryptocurrency exchange &mdash; which will be dedicated to EOS &mdash; in the first quarter of 2019, according to a press release sent to Cointelegraph on Dec. 29.The exchange will be reportedly launched by Huobi Pool, the group&rsquo;s cryptocurrency mining arm. Cao Fei, the CEO of Huobi Pool, described the launch of the EOS exchange as &ldquo;the next logical step in our support&rdquo; as an EOS Block Producer (BP).The release states that the exchange will allow clients to trade in the altcoin EOS against several other cryptocurrencies.Huobi is currently the third-ranked crypto exchange based on the volume on CoinMarketCap, with around $774 million in 24 hour volume at press time.As Cointelegraph reported, the exchange recently also announced support for EOS on its derivative market. The daily traded volume on Huobi&rsquo;s cryptocurrency derivative market also reportedly recently broke $1 billion.The company&rsquo;s derivative market had been launched only about a month before, at the end of November. The advantage that the company stressed when presenting the market at the Cryptofrontiers conference is that it allows customers to take both short and long positions.EOS has been repeatedly criticized for alleged centralization. Recently, Starteos, one of EOS&rsquo; BP&rsquo;s, appeared to publically offer its token holders financial rewards in return for their votes. There have also been investigations in the EOS ecosystem after Huobi was accused of running a corruption scheme.        """
2018-12-29,"""Nvidia Faces Class Action Lawsuit Over Losses After Diminished Mining GPU Demand""","""                                                               GPU producer Nvidia is facing a class action lawsuit over the losses reported by the company when demand for GPUs by miners diminished.                     Graphics processing unit (GPU) producer Nvidia is facing a class action lawsuit over the losses reported by the company when lower crypto prices diminished demand for GPUs by miners. Schall law firm announced the lawsuit on Dec. 24.The complaint states that &ldquo;the Company made false and misleading statements to the market.&rdquo; Namely, according to the announcement, Nvidia &ldquo;touted its ability to monitor the cryptocurrency market and make rapid changes to its business as necessary.&rdquo; Shall states that the GPU producer also declared:&ldquo;Any drop off in demand for its GPUs amongst cryptocurrency miners would not negatively impact the Company&rsquo;s business because of strong demand for GPUs from the gaming market.&rdquo;As Cointelegraph recently reported, after the cryptocurrency mining crash, Nvidia was the worst reported performer in S&amp;P 500. After a massive sell-off of its shares, the stock price of the company fell by 54 percent.In mid-November, an analysis by Susquehanna &mdash; a United States -based global trading and technology firm &mdash; observed that mining Ethereum (ETH) using graphics processing units was no longer profitable.In the Susquehanna analysis, the profit per month for GPU Ethereum miners hit $0 by Nov. 1, down from nearly $150 in July 2017.Earlier this week, Japanese firm GMO Internet announced that they would be leaving the mining sector, citing extraordinary losses over the year.Nvidia has not responded to Cointelegraph&rsquo;s request for comment at press time.         """
2018-12-29,"""Major American Magazine Time Column Reports About Bitcoin’s Liberating Potential""","""                                                               Mainstream newspaper Time published an article illustrating the liberating potential of Bitcoin, especially in countries with oppressive governments.                     Bitcoin (BTC) has a substantial liberating potential, American mainstream newspaper Time reports on Dec. 28.The aforementioned article claims that &ldquo;speculation, fraud, and greed in the cryptocurrency and blockchain industry have overshadowed the real, liberating potential of Satoshi Nakamoto&rsquo;s invention.&rdquo;According to the article&rsquo;s author, Bitcoin &ldquo;can be a valuable financial tool as a censorship-resistant medium of exchange.&rdquo;Alejandro Machado, a cryptocurrency researcher at the Open Money Initiative, reportedly said that the fee on a wire transfer from the United States to Venezuela can be as high as 56 percent.To circumvent such conditions, Venezuelans have reportedly turned to cryptocurrency, receiving Bitcoin from their relatives abroad. The main alternative is to wire money to Colombia, withdraw and bring cash to Venezuela, which according to the article, &ldquo;can take far longer, cost more, and be far more dangerous than the Bitcoin option.&rdquo;Times suggests that Bitcoin is a good way to protect oneself from fiat currency inflation. Venezuela is prime example of that, with the inflation of their native currency projected to top 1 million percent. But there are also other similar examples, like Zimbabwe, where former president Robert Mugabe &ldquo;printed endless amounts of cash.&rdquo; But the author points out:&ldquo;His successors can&rsquo;t print more Bitcoin.&rdquo;Bitcoin is also, according to the article, a tool to evade mass surveillance in places like China. That being said, as Cointelegraph reported in March, according to U.S. whistleblower Edward Snowden, Bitcoin isn&rsquo;t optimal for avoiding government coercion, and he believes that the world needs a better option.Times also points out the advantage given by the inability of governments to censor transactions or freeze Bitcoin wallets. In fact, Cointelegraph reported in April that WikiLeaks&rsquo; Coinbase account has been suspended due to a term of service violation.Still, nobody can prevent WikiLeaks from using cryptocurrency wallets where the organization controls the private keys. In fact, WikiLeaks is still accepting cryptocurrency donations and also added support for Snowden&rsquo;s favorite crypto Zcash in August 2017.       """
2018-12-29,"""Bitcoin Above $3,900 Again as All Top Cryptocurrencies See Gains""","""                                                               All of the top 20 cryptocurrencies are in the green, with Bitcoin’s price going above $3,900 again.                     Saturday, Dec. 29 &mdash; all of the top 20 cryptocurrencies are seeing moderate to substantial gains, with Bitcoin&rsquo;s (BTC) price going above $3,900 again, according to Coin360 data.Market visualization from&nbsp;Coin360At press time, Bitcoin is up over six percent on the day, trading at around $3,926. Looking at its weekly chart, the current price is substantially lower than Monday&rsquo;s high of $4,265, but the cryptocurrency is still trading significantly up from $3,642 &mdash; the mid-week low registered yesterday. The current price is also near $3,963, where Bitcoin started the week.Bitcoin 7-day price chart. Source:&nbsp;CoinMarketCapRipple (XRP) &mdash; the second largest cryptocurrency by market capitalization &mdash; has gained over 8 percent on the day, trading at about $0.376 as of press time.On the weekly chart, the current price is higher than $0.359, the price at which the coin started the week. However, the current price is also lower than the mid-week high of $0.446 reached on Monday.Ripple 7-day price chart. Source:&nbsp;CoinMarketCapEthereum (ETH) remains the third largest cryptocurrency by market cap, seeing nearly a 15 percent value increase over the last 24 hours. At press time, ETH is trading at around $137, having started the day at $119.On the weekly chart, the current price is higher than $112, which was the value of ETH on last Saturday, but also lower than the Monday high of $157.Ethereum 7-day chart. Source:&nbsp;CoinMarketCapAmong the top 20 cryptocurrencies, EOS has gained 14 percent, Bitcoin Cash (BCH) is up 10 percent, Binance Coin (BNB) 11 percent and NEO 10 percent.The combined market capitalization of all cryptocurrencies has surged to over $131 billion at press time. This places the current market cap higher than the week&rsquo;s starting point of $129 billion, but also notably lower than the mid-week high of $146 billion.Total crypto market cap 7-day chart. Source: CoinMarketCapAs Cointelegraph recently reported, Anthony Pompliano, the Morgan Creek Digital Assets founder, declared that Bitcoin still has lower to go. There have also been recent reports that Wall Street giants are postponing their plans to enter the crypto industry because of the recent price plunge.               """
2018-12-29,"""Samsung Seeks UK Trademark For Cryptocurrency Wallet""","""                                                               Samsung has applied for a U.K. trademark for a cryptocurrency wallet, after denying rumors it would include a native wallet on the Galaxy S10 earlier this month.                     South Korean electronics giant Samsung is apparently seeking a trademark in the United Kingdom for a cryptocurrency wallet, according to a Dec. 27 filing with the U.K. Intellectual Property Office.In the &ldquo;Classes and terms&rdquo; section of the application, Samsung cites such developments as &ldquo;Computer software for use as a cryptocurrency wallet; Computer software for cryptocurrency transfer and payment using blockchain technology; Computer application software for smartphones, namely, software to allow users to transfer cryptocurrency based on blockchain technology and pay via 3rd party&rsquo;s application software.&rdquo;The application follows rumors &mdash; subsequently refuted by Samsung &mdash; &nbsp;that the company has plans to include a cryptocurrency cold wallet on its Galaxy S10 smartphone. Samsung filed three European Union trademark applications for blockchain- and cryptocurrency- related software on Dec. 10.Earlier in December, Cointelegraph reported that major smartphone manufacturer HTC integrated decentralized browser Brave on the HTC Exodus 1 phone, &ldquo;the first native blockchain phone&rdquo; with support for multiple blockchains, including Bitcoin (BTC) and Ethereum (ETH) networks.Last month, blockchain-focused electronics supplier SIRIN Labs launched its first blockchain-based smartphone called FINNEY. Based on both Android and SIRIN&rsquo;s open-source operating system, SIRIN OS, the FINNEY phone offers a cold-storage crypto wallet and provides encrypted communications.In October, Samsung&rsquo;s production wing, Samsung Foundry, launched a new production process of its 7-nanometer (nm) Low Power Plus (7LPP) process node, which could reduce its energy consumption by up to 50 percent. The chip could purportedly have positive implications for crypto miners usings Samsung&rsquo;s hardware, as energy costs prove to be a critical factor in the industry&rsquo;s profitability.            """
2018-12-29,"""Japanese Financial Regulator Receives 190 Cryptocurrency Exchange License Applications""","""                                                               The Japanese Financial Services Agency has received 190 cryptocurrency exchange license applications.                     The Japanese Financial Services Agency (FSA) received 190 cryptocurrency exchange license applications, an unnamed FSA staff member told Cointelegraph Japan on Dec. 28.The FSA has given the local crypto industry self-regulatory status, certifying the Japanese Virtual Currency Exchange Association (JVCEA) to oversee the space. The JVCEA is now expected to develop anti-money-laundering (AML) policy and providing guidelines to crypto exchanges.As Cointelegraph recently reported, such a license was recently granted to cryptocurrency exchange Coincheck. Following a hack at the exchange in January, it received two business improvement orders from the FSA.Those improvement orders were mainly focused on setting higher standards for customer protection and anti-money-laundering measures. The FSA sent &ldquo;punishment notices&rdquo; to seven crypto exchanges in March.The commissioner of Japan&rsquo;s FSA said in August that the agency wished the crypto industry to &ldquo;grow under appropriate regulation.&rdquo; He further reassured that the agency has &ldquo;no intention to curb [the crypto industry] excessively.&rdquo;As the cryptocurrency and blockchain industries have been growing in Japan, so too as the FSA. In July, the agency underwent a major overhaul in order to better deal with fintech-related fields, including cryptocurrencies.The Strategy Development and Management Bureau replaced the Inspection Bureau, and will reportedly develop a financial strategy policy and handle issues addressing the digital currencies market, fintech, and money laundering.The Policy and Markets Bureau will succeed the Planning and Coordination Bureau, and is tasked with developing a legal framework that addresses the rapid growth of the fintech sector.After introducing regulations that requires cryptocurrency exchanges to report suspicious transactions, the Japanese National Police Agency (NPA) reported a steep increase in such reports. According to the NPA, there have been 5,944 such reports between January and October."""
2018-12-29,"""Multi-Blockchain Crypto Collectible Game Integrates TRON and Promises Unique Updates""","""                                          sponsored                     The new version of “the cutest crypto game” will include unique tokens, items and locations.                     Blockchain Cuties, a decentralized crypto collectible game already available on two blockchain platforms &mdash; Ethereum (ETH) and EOS &mdash; has recently added a third platform based on the decentralized protocol TRON. Blockchain Cuties has announced that the TRON version of the game will have unique content, including Cuties, items and probably locations.Future of DApps&ldquo;We have been seeking an opportunity to work with TRON since June 2018 and now, we&rsquo;re finally here,&rdquo; Vladimir Tomko, CEO of Blockchain Cuties says. The game developer believes that adding the TRON community will give the users more opportunity in representing their Cuties in the battlefield. Also, the team hopes that integration Blockchain Cuties to the TRON platform will also help achieve the higher transaction speed which brings more options to the gameplay. The TRON team believes that an extension through the sidechain will help achieve its goal of 1,000 transactions per second (TPS). In comparison, Ethereum enables 15 TPS and Bitcoin 7 TPS.Blockchain Cuties says it have a similar vision with TRON. Launched in August 2017, TRON was announced as &ldquo;a blockchain-based decentralized protocol that aims to construct a worldwide free content entertainment system with the blockchain and distributed storage technology. The idea of the new project was to allow users to publish, store and own data for free. The content is supposed to be owned by its creators, artists and scriptwriters rather &ldquo;than the capitalists who consume them.&rdquo; This principle goes along with the Blockchain Cuties&rsquo; concept. The game developer says players finally got full ownership of the Cutie&rsquo;s value that they created. The startup notes that the non-fungible tokens can&rsquo;t be taken from their owners and nobody can dictate players on the usage terms. &ldquo;Thus, Blockchain Cuties and TRON are on the same page in terms of TRON&rsquo;s mission,&rdquo; Blockchain Cuties says. &nbsp;Blockchain Cuties is the first crypto collectible game placed on TRON Arcade &mdash; the special $100 million fund created by TRON. &ldquo;TRON Arcade will play a crucial role in encouraging developers to join in our mission and provide the best blockchain gaming experience to users around the world,&rdquo; TRONs founder and CEO Justin Sun said.Multi-blockchain CutiesThe game was released in April 2018 on Ethereum (ETH) as a part of the boom of crypto-collectible games started with the launch of CryptoPunks &mdash; the first blockchain game ever made &mdash; in June 2017.The developers offered the users the ability to collect, breed and trade non-fungible tokens of different animals &mdash; including cats, lizards, puppies, bears and, most valuable, fantastic creatures. Every Cutie has different attributes like hair style, eye color and facial hair. All these different features of the digital assets increase its value in cryptocurrency and performance. The players can also take part in roll-the-dice battles within the game. The TRON version of the game will include unique TRON Cuties, which are Red Hedgehog, Fairy Dragon, Bear-o-Bull, LilTronbeary and Tronbeary, and many more.In November 2018, Blockchain Cuties announced a partnership with EOS. Enabling the game on the EOS ecosystem made Blockchain Cuties &ldquo;the first game which officially supports two blockchains simultaneously,&rdquo; the developer says. Now, the users have the chance to create both ETH- and EOS-based Cuties. Also, one of the main reasons for the partnership with EOS was the support for non-fungible tokens that the platform provides. Finally, Blockchain Cuties hopes EOS will help make transactions faster &mdash; for example, importing a private key now takes less than a minute, which is then stored locally. &nbsp;Disclaimer. Cointelegraph does not endorse any content or product on this page. While we aim at providing you all important information that we could obtain, readers should do their own research before taking any actions related to the company and carry full responsibility for their decisions, nor this article can be considered as an investment advice.  """
2018-12-28,"""Ledger: Recently Discovered Wallet Vulnerabilities Not Critical""","""                                                               Ledger claimed that the recently uncovered vulnerabilities in their hardware wallets are not critical.                     Ledger claimed that recently uncovered vulnerabilities in its hardware wallets are not critical in an official Medium blog post on Dec. 28.Yesterday at the 35C3 Refreshing Memories conference in Berlin, researchers claimed that they were able to hack the Trezor One, Ledger Nano S and Ledger Blue cryptocurrency wallets.In the post, the company explains that there appeared to be &ldquo;three attack paths which could give the impression that critical vulnerabilities were uncovered,&rdquo; but according to them &ldquo;this is not the case.&rdquo;The reason Ledger says that the vulnerability is not critical is that &ldquo;they did not succeed to extract any seed nor PIN on a stolen device&rdquo; and &ldquo;sensitive assets stored on the Secure Element remain secure.&rdquo;According to the company, the Ledger Nano S vulnerability &ldquo;demonstrated that physically modifying the Ledger Nano S and installing malware on the victim&rsquo;s PC could allow a nearby attacker to sign a transaction after the PIN is entered and the Bitcoin (BTC) app is launched.&rdquo;This, Ledger claims, is &ldquo;quite unpractical, and a motivated hacker would definitely use more efficient tricks.&rdquo; While the researchers claimed that the vulnerability allowed them to &ldquo;send malicious transactions to the ST31 [the secure chip] and even confirm it ourselves&rdquo; Ledger denies its, stating:&ldquo;Their firmware runs snake on the MCU in Bootloader mode. This means that you have to push the left button at boot and the Secure Element does not even boot.&rdquo;Ledger also claims that the demonstration of the Ledger Blue attack is &ldquo;a bit unrealistic and not practical,&rdquo; claiming that &ldquo;the position of the receiver and the attacked device must be exactly the same, &#8202;the position of the USB cable is also paramount (as it acts as an antenna).&rdquo;The post stated that &ldquo;if the conditions are not exactly the same, the machine learning classifier won&rsquo;t work properly.&rdquo; For this reason, Ledger concluded:&ldquo;This attack is definitely interesting, but does not allow to guess someone&rsquo;s PIN in real conditions (it requires that you never move your device at all).&rdquo;Furthermore, because of this vulnerability, Ledger stated that the next Ledger Blue firmware update will feature a randomized keyboard for the pin.The company also stated that they &ldquo;regret that the researchers did not follow the standard security principles outlined in Ledger&rsquo;s Bounty program.&rdquo; According to Ledger &ldquo;in the security world, the usual way to proceed is responsible disclosure. This is the model in which a vulnerability is disclosed only after a reasonable period of time that allows for the vulnerability to be patched as well as to mitigate risks for users.&rdquo;In November, Ledger announced its expansion to New York in order to develop its institutional custody offering Ledger Vault. Moreover, the company also recently signed an agreement with crypto payment startup Crypto.com to allow users to pay for its products with cryptocurrencies.       """
2018-12-28,"""Visa to Purchase Ripple Cross-Border Payments Partner Earthport""","""                                                               Payment services giant Visa will reportedly acquire Ripple’s partner Earthport for over $251 million.                     American payment services giant Visa Inc. is acquiring Ripple partner Earthport Plc, a payment network for cross-border transactions, Reuters U.K. reported Dec. 27.Founded in 1997, London-based Earthport is a financial services firm that offers cross-border payments service to banks and financial institutions. Earthport is a partner of tech company Ripple, where the partnership is aimed at integrating the Ripple protocol into the firm&rsquo;s existing payment network to improve international transactions.Per Reuters, the acquisition will be made for &pound;198 million ($251 million), or 30 pence ($0.38) per each Earthport share, which exceeds the stock&rsquo;s Monday closing price of 7.45 pence by over four times.Earthport&rsquo;s shares, which are listed on the London Stock Exchange&rsquo;s secondary market, have reportedly slumped over 28 percent this year following growing losses and expenses. This reportedly made the company consider &ldquo;fundamental&rdquo; changes in its strategy.In 2016, Earthport launched a single application programming interface (API) designed to connect banks to Ripple&rsquo;s distributed ledger protocol when processing cross-border payments, according to financial and business news outlet Finextra. The development was reportedly set to enable banks to overcome budgetary, technology and compliance constraints.In October, Cointelegraph reported that Visa was readying its blockchain-based digital identity system &ldquo;Visa B2B Connect&rdquo; for cross-border payments for launch in the first quarter of 2019. The system reportedly tokenizes sensitive business data &mdash; such as banking details and account numbers &mdash; granting them a unique cryptographic identifier that will be used for transactions on the platform.In June, Visa said that their card payments were experiencing disruptions across the United Kingdom and Europe, while the Payment Systems Regulator asserted that the problem was isolated solely to Visa card payments. Without naming the reason, Visa tweeted that they were &ldquo;investigating the cause and working as quickly as possible to resolve the situation.&rdquo;       """
